district,date,month,year,visitors
Adilabad,01-01-2016,January,2016,792136.0
Adilabad,01-02-2016,February,2016,937820.0
Adilabad,01-03-2016,March,2016,582946.0
Adilabad,01-04-2016,April,2016,341948.0
Adilabad,01-05-2016,May,2016,252887.0
Adilabad,01-06-2016,June,2016,368237.0
Adilabad,01-07-2016,July,2016,447562.0
Adilabad,01-08-2016,August,2016,614285.0
Adilabad,01-09-2016,September,2016,491279.0
Adilabad,01-10-2016,October,2016,94184.0
Adilabad,01-11-2016,November,2016,99148.0
Adilabad,01-12-2016,December,2016,53125.0
Bhadradri Kothagudem ,01-01-2016,January,2016,298366.0
Bhadradri Kothagudem ,01-02-2016,February,2016,298366.0
Bhadradri Kothagudem ,01-03-2016,March,2016,298366.0
Bhadradri Kothagudem ,01-04-2016,April,2016,298366.0
Bhadradri Kothagudem ,01-05-2016,May,2016,298366.0
Bhadradri Kothagudem ,01-06-2016,June,2016,298366.0
Bhadradri Kothagudem ,01-07-2016,July,2016,298366.0
Bhadradri Kothagudem ,01-08-2016,August,2016,298366.0
Bhadradri Kothagudem ,01-09-2016,September,2016,298366.0
Bhadradri Kothagudem ,01-10-2016,October,2016,310133.0
Bhadradri Kothagudem ,01-11-2016,November,2016,252127.0
Bhadradri Kothagudem ,01-12-2016,December,2016,326770.0
Hyderabad,01-01-2016,January,2016,1122510.0
Hyderabad,01-02-2016,February,2016,778748.0
Hyderabad,01-03-2016,March,2016,1017794.0
Hyderabad,01-04-2016,April,2016,1127738.0
Hyderabad,01-05-2016,May,2016,1287181.0
Hyderabad,01-06-2016,June,2016,12032661.0
Hyderabad,01-07-2016,July,2016,1096754.0
Hyderabad,01-08-2016,August,2016,1061137.0
Hyderabad,01-09-2016,September,2016,832987.0
Hyderabad,01-10-2016,October,2016,901960.0
Hyderabad,01-11-2016,November,2016,909733.0
Hyderabad,01-12-2016,December,2016,1225502.0
Jagtial ,01-01-2016,January,2016,248504.0
Jagtial ,01-02-2016,February,2016,248504.0
Jagtial ,01-03-2016,March,2016,248504.0
Jagtial ,01-04-2016,April,2016,248504.0
Jagtial ,01-05-2016,May,2016,248504.0
Jagtial ,01-06-2016,June,2016,248504.0
Jagtial ,01-07-2016,July,2016,248504.0
Jagtial ,01-08-2016,August,2016,248504.0
Jagtial ,01-09-2016,September,2016,248504.0
Jagtial ,01-10-2016,October,2016,201249.0
Jagtial ,01-11-2016,November,2016,214534.0
Jagtial ,01-12-2016,December,2016,207294.0
Jangaon ,01-01-2016,January,2016,19660.0
Jangaon ,01-02-2016,February,2016,19660.0
Jangaon ,01-03-2016,March,2016,19660.0
Jangaon ,01-04-2016,April,2016,19660.0
Jangaon ,01-05-2016,May,2016,19660.0
