district,date,month,year,visitors
Adilabad,01-01-2016,January,2016,2.0
Adilabad,01-02-2016,February,2016,0.0
Adilabad,01-03-2016,March,2016,2.0
Adilabad,01-04-2016,April,2016,0.0
Adilabad,01-05-2016,May,2016,0.0
Adilabad,01-06-2016,June,2016,0.0
Adilabad,01-07-2016,July,2016,4.0
Adilabad,01-08-2016,August,2016,2.0
Adilabad,01-09-2016,September,2016,0.0
Adilabad,01-10-2016,October,2016,0.0
Adilabad,01-11-2016,November,2016,0.0
Adilabad,01-12-2016,December,2016,0.0
Bhadradri Kothagudem ,01-01-2016,January,2016,0.0
Bhadradri Kothagudem ,01-02-2016,February,2016,0.0
Bhadradri Kothagudem ,01-03-2016,March,2016,0.0
Bhadradri Kothagudem ,01-04-2016,April,2016,0.0
Bhadradri Kothagudem ,01-05-2016,May,2016,0.0
Bhadradri Kothagudem ,01-06-2016,June,2016,0.0
Bhadradri Kothagudem ,01-07-2016,July,2016,0.0
Bhadradri Kothagudem ,01-08-2016,August,2016,0.0
Bhadradri Kothagudem ,01-09-2016,September,2016,0.0
Bhadradri Kothagudem ,01-10-2016,October,2016,0.0
Bhadradri Kothagudem ,01-11-2016,November,2016,0.0
Bhadradri Kothagudem ,01-12-2016,December,2016,0.0
Hyderabad,01-01-2016,January,2016,15865.0
Hyderabad,01-02-2016,February,2016,29646.0
Hyderabad,01-03-2016,March,2016,13019.0
Hyderabad,01-04-2016,April,2016,8402.0
Hyderabad,01-05-2016,May,2016,8522.0
Hyderabad,01-06-2016,June,2016,10284.0
Hyderabad,01-07-2016,July,2016,17142.0
Hyderabad,01-08-2016,August,2016,12842.0
Hyderabad,01-09-2016,September,2016,9397.0
Hyderabad,01-10-2016,October,2016,12808.0
Hyderabad,01-11-2016,November,2016,8084.0
Hyderabad,01-12-2016,December,2016,17620.0
Jagtial ,01-01-2016,January,2016,0.0
Jagtial ,01-02-2016,February,2016,0.0
Jagtial ,01-03-2016,March,2016,0.0
Jagtial ,01-04-2016,April,2016,0.0
Jagtial ,01-05-2016,May,2016,0.0
Jagtial ,01-06-2016,June,2016,0.0
Jagtial ,01-07-2016,July,2016,0.0
Jagtial ,01-08-2016,August,2016,0.0
Jagtial ,01-09-2016,September,2016,0.0
Jagtial ,01-10-2016,October,2016,0.0
Jagtial ,01-11-2016,November,2016,0.0
Jagtial ,01-12-2016,December,2016,0.0
Jangaon ,01-01-2016,January,2016,0.0
Jangaon ,01-02-2016,February,2016,0.0
Jangaon ,01-03-2016,March,2016,0.0
Jangaon ,01-04-2016,April,2016,0.0
Jangaon ,01-05-2016,May,2016,0.0
Jangaon ,01-06-2016,June,2016,0.0
Jangaon ,01-07-2016,July,2016,0.0
Jangaon ,01-08-2016,August,2016,0.0
Jangaon ,01-09-2016,September,2016,0.0
Jangaon ,01-10-2016,October,2016,0.0
Jangaon ,01-11-2016,November,2016,2.0
Jangaon ,01-12-2016,December,2016,0.0
Jayashankar Bhoopalpally,01-01-2016,January,2016,40.0
Jayashankar Bhoopalpally,01-02-2016,February,2016,40.0
Jayashankar Bhoopalpally,01-03-2016,March,2016,40.0
Jayashankar Bhoopalpally,01-04-2016,April,2016,40.0
Jayashankar Bhoopalpally,01-05-2016,May,2016,40.0
Jayashankar Bhoopalpally,01-06-2016,June,2016,40.0
Jayashankar Bhoopalpally,01-07-2016,July,2016,40.0
Jayashankar Bhoopalpally,01-08-2016,August,2016,40.0
Jayashankar Bhoopalpally,01-09-2016,September,2016,40.0
Jayashankar Bhoopalpally,01-10-2016,October,2016,24.0
Jayashankar Bhoopalpally,01-11-2016,November,2016,22.0
Jayashankar Bhoopalpally,01-12-2016,December,2016,40.0
Jogulamba Gadwal ,01-01-2016,January,2016,22.0
Jogulamba Gadwal ,01-02-2016,February,2016,22.0
Jogulamba Gadwal ,01-03-2016,March,2016,22.0
Jogulamba Gadwal ,01-04-2016,April,2016,22.0
Jogulamba Gadwal ,01-05-2016,May,2016,22.0
Jogulamba Gadwal ,01-06-2016,June,2016,22.0
Jogulamba Gadwal ,01-07-2016,July,2016,22.0
Jogulamba Gadwal ,01-08-2016,August,2016,22.0
Jogulamba Gadwal ,01-09-2016,September,2016,22.0
Jogulamba Gadwal ,01-10-2016,October,2016,13.0
Jogulamba Gadwal ,01-11-2016,November,2016,21.0
Jogulamba Gadwal ,01-12-2016,December,2016,11.0
Kamareddy ,01-01-2016,January,2016,0.0
Kamareddy ,01-02-2016,February,2016,0.0
Kamareddy ,01-03-2016,March,2016,0.0
Kamareddy ,01-04-2016,April,2016,0.0
Kamareddy ,01-05-2016,May,2016,0.0
Kamareddy ,01-06-2016,June,2016,0.0
Kamareddy ,01-07-2016,July,2016,0.0
Kamareddy ,01-08-2016,August,2016,0.0
Kamareddy ,01-09-2016,September,2016,0.0
Kamareddy ,01-10-2016,October,2016,0.0
Kamareddy ,01-11-2016,November,2016,0.0
Kamareddy ,01-12-2016,December,2016,0.0
Karimnagar ,01-01-2016,January,2016,0.0
Karimnagar ,01-02-2016,February,2016,0.0
Karimnagar ,01-03-2016,March,2016,0.0
Karimnagar ,01-04-2016,April,2016,0.0
Karimnagar ,01-05-2016,May,2016,0.0
Karimnagar ,01-06-2016,June,2016,0.0
Karimnagar ,01-07-2016,July,2016,0.0
Karimnagar ,01-08-2016,August,2016,0.0
Karimnagar ,01-09-2016,September,2016,0.0
Karimnagar ,01-10-2016,October,2016,0.0
Karimnagar ,01-11-2016,November,2016,0.0
Karimnagar ,01-12-2016,December,2016,0.0
Khammam,01-01-2016,January,2016,0.0
Khammam,01-02-2016,February,2016,0.0
Khammam,01-03-2016,March,2016,0.0
Khammam,01-04-2016,April,2016,0.0
Khammam,01-05-2016,May,2016,0.0
Khammam,01-06-2016,June,2016,0.0
Khammam,01-07-2016,July,2016,0.0
Khammam,01-08-2016,August,2016,0.0
Khammam,01-09-2016,September,2016,0.0
Khammam,01-10-2016,October,2016,0.0
Khammam,01-11-2016,November,2016,0.0
Khammam,01-12-2016,December,2016,0.0
Komaram Bheem Asifabad,01-01-2016,January,2016,0.0
Komaram Bheem Asifabad,01-02-2016,February,2016,0.0
Komaram Bheem Asifabad,01-03-2016,March,2016,0.0
Komaram Bheem Asifabad,01-04-2016,April,2016,0.0
Komaram Bheem Asifabad,01-05-2016,May,2016,0.0
Komaram Bheem Asifabad,01-06-2016,June,2016,0.0
Komaram Bheem Asifabad,01-07-2016,July,2016,0.0
Komaram Bheem Asifabad,01-08-2016,August,2016,0.0
Komaram Bheem Asifabad,01-09-2016,September,2016,0.0
Komaram Bheem Asifabad,01-10-2016,October,2016,0.0
Komaram Bheem Asifabad,01-11-2016,November,2016,0.0
Komaram Bheem Asifabad,01-12-2016,December,2016,0.0
Mahabubabad ,01-01-2016,January,2016,0.0
Mahabubabad ,01-02-2016,February,2016,0.0
Mahabubabad ,01-03-2016,March,2016,0.0
Mahabubabad ,01-04-2016,April,2016,0.0
Mahabubabad ,01-05-2016,May,2016,0.0
Mahabubabad ,01-06-2016,June,2016,0.0
Mahabubabad ,01-07-2016,July,2016,0.0
Mahabubabad ,01-08-2016,August,2016,0.0
Mahabubabad ,01-09-2016,September,2016,0.0
Mahabubabad ,01-10-2016,October,2016,0.0
Mahabubabad ,01-11-2016,November,2016,0.0
Mahabubabad ,01-12-2016,December,2016,0.0
Mahbubnagar,01-01-2016,January,2016,123.0
Mahbubnagar,01-02-2016,February,2016,126.0
Mahbubnagar,01-03-2016,March,2016,103.0
Mahbubnagar,01-04-2016,April,2016,75.0
Mahbubnagar,01-05-2016,May,2016,58.0
Mahbubnagar,01-06-2016,June,2016,68.0
Mahbubnagar,01-07-2016,July,2016,63.0
Mahbubnagar,01-08-2016,August,2016,86.0
Mahbubnagar,01-09-2016,September,2016,74.0
Mahbubnagar,01-10-2016,October,2016,37.0
Mahbubnagar,01-11-2016,November,2016,29.0
Mahbubnagar,01-12-2016,December,2016,26.0
Mancherial,01-01-2016,January,2016,0.0
Mancherial,01-02-2016,February,2016,0.0
Mancherial,01-03-2016,March,2016,0.0
Mancherial,01-04-2016,April,2016,0.0
Mancherial,01-05-2016,May,2016,0.0
Mancherial,01-06-2016,June,2016,0.0
Mancherial,01-07-2016,July,2016,0.0
Mancherial,01-08-2016,August,2016,0.0
Mancherial,01-09-2016,September,2016,0.0
Mancherial,01-10-2016,October,2016,0.0
Mancherial,01-11-2016,November,2016,0.0
